title,overview,poster_path,Director,Actors_1,Actors_2,Actors_3,genre_principal,genre_1,genre_2,genre_3,Year,runtime,vote_average,Tous genres
Avatar,"Un marine paraplégique, envoyé sur la lune Pandora pour une mission unique, est tiraillé entre suivre ses ordres et protéger le monde qu'il considère dorénavant comme le sien.",/7N8L80OaG8EBTDdRBjGqT8PBzCM.jpg,James Cameron,Sam Worthington,Zoe Saldaña,Sigourney Weaver,Science-Fiction,Science-Fiction,Action,Aventure,2009,166.0,7.602,"['Science-Fiction', 'Action', 'Aventure']"
Pirates des Caraïbes : Jusqu'au bout du monde,"L’âge d’or de la piraterie touche à sa fin. Même le terrifiant Vaisseau Fantôme et son capitaine maudit servent Lord Cutler Beckett. Il écume désormais les sept mers, massacrant sans pitié les pirates de tous bords. Une seule chance de résister à Beckett et à son armada : Rassembler les Neuf Seigneurs de la Cour des Frères.",/3JjceHUzbtgJ4fJs6x2ow4ckH89.jpg,Gore Verbinski,Johnny Depp,Orlando Bloom,Keira Knightley,Aventure,Aventure,Fantastique,Action,2007,168.0,7.266,"['Aventure', 'Fantastique', 'Action']"
Spectre,"Un message cryptique surgi du passé entraîne James Bond dans une mission très personnelle à Mexico puis à Rome, où il rencontre Lucia Sciarra, la très belle veuve d’un célèbre criminel. Bond réussit à infiltrer une réunion secrète révélant une redoutable organisation baptisée Spectre. Pendant ce temps, à Londres, Max Denbigh, le nouveau directeur du Centre pour la Sécurité Nationale, remet en cause les actions de Bond et l’existence même du MI6, dirigé par M. Bond persuade Moneypenny et Q de l’aider secrètement à localiser Madeleine Swann, la fille de son vieil ennemi, Mr White, qui pourrait détenir le moyen de détruire Spectre. Fille de tueur, Madeleine comprend Bond mieux que personne… En s’approchant du cœur de Spectre, Bond va découvrir qu’il existe peut-être un terrible lien entre lui et le mystérieux ennemi qu’il traque…",/AwCpcShhgRqoVPWhOzs4JiI4dlK.jpg,Sam Mendes,Daniel Craig,Christoph Waltz,Léa Seydoux,Action,Action,Aventure,Thriller,2015,148.0,6.569,"['Action', 'Aventure', 'Thriller']"
The Dark Knight Rises,"Afin que l'image de l'ex-procureur Harvey Dent reste un modèle du genre pour les citoyens de Gotham City, Batman a endossé les crimes de ce dernier et a été chassé de la ville par les autorités.  Huit ans plus tard, alors que Gotham City est de nouveau sûre, le commissaire Gordon tombe sur un complot qui vise à détruire la ville de l'intérieur.  Il fait appel à Batman. Ce dernier devra faire face à la mystérieuse Selina Kyle et à Bane, un adversaire mortel, qui veut mettre en pièce le symbole Batman.",/ApcGBERN0p9I0nDOIwJeEmpnLU5.jpg,Christopher Nolan,Christian Bale,Tom Hardy,Anne Hathaway,Action,Action,Crime,Drame,2012,164.0,7.793,"['Action', 'Crime', 'Drame']"
John Carter,"L'ancien capitaine John Carter, las de la guerre, se retrouve mystérieusement transporté sur la planète Mars, où il se retrouve impliqué malgré lui dans un terrible conflit entre les habitants de cette planète, y compris Tars Tarkas et la fascinante princesse Dejah Thoris. Dans un monde au bord du gouffre, Carter redécouvre son humanité en prenant conscience que la survie de Barsoom et de ses habitants est entre ses mains.",/iCwo0I8usMsQpoiGAEinYxTTr6c.jpg,Andrew Stanton,Taylor Kitsch,Lynn Collins,Willem Dafoe,Action,Action,Aventure,Science-Fiction,2012,140.0,6.359,"['Action', 'Aventure', 'Science-Fiction']"
Spider-Man 3,"Peter Parker a retrouvé un équilibre de vie et souhaite épouser Mary Jane. Lors d'une nuit au parc, alors que Peter et Mary Jane sont ensemble, une petite météorite tombe près du lieu où ils se trouvent. Celle-ci laisse échapper une matière visqueuse qui s'attache discrètement à la mobylette de Peter. Pendant ce temps, Flint Marko s'échappe de prison. Lors de sa fuite, il tombe dans un accélérateur de particules qui fond son corps avec le sable. Le meilleur ami de Peter, Harry Osborn, veut venger la mort de son père, croyant que Spider-Man est responsable de son décès, il l'attaque.",/hPkfodeYB0ZqBjxaynsEdXl0bbR.jpg,Sam Raimi,Tobey Maguire,Kirsten Dunst,Topher Grace,Action,Action,Aventure,Science-Fiction,2007,139.0,6.455,"['Action', 'Aventure', 'Science-Fiction']"
Raiponce,"Quand le bandit le plus recherché du royaume, Flynn Rider, se cache dans une mystérieuse tour, il est pris en otage par Raiponce, une jolie adolescente avec des cheveux de 20 mètres. La curieuse ravisseuse de Flynn, qui cherche à s’échapper de la tour où elle est enfermée depuis des années, conclut un accord avec le voleur et le duo improbable se lance dans une aventure pleine d’action, en compagnie du cheval Maximus, d'un camélon surprotecteur du nom de Pascal, et d'une bande de voyous.",/xZhAFR0N2r5q7tJNWaBGzHUaeb5.jpg,"Nathan Greno, Byron Howard",Mandy Moore,Zachary Levi,Donna Murphy,Animation,Animation,Familial,Aventure,2010,101.0,7.609,"['Animation', 'Familial', 'Aventure']"
Avengers : L'Ère d'Ultron,"Alors que Tony Stark tente de relancer un programme de maintien de la paix jusque-là suspendu, les choses tournent mal et les super-héros Iron Man, Captain America, Thor, Hulk, Black Widow et Hawkeye vont devoir à nouveau unir leurs forces pour combattre le plus puissant de leurs adversaires : le terrible Ultron, un être technologique terrifiant qui s’est juré d’éradiquer l’espèce humaine. Afin d’empêcher celui-ci d’accomplir ses sombres desseins, des alliances inattendues se scellent, les entraînant dans une incroyable aventure et une haletante course contre le temps…",/A0tw88n1byyR2vodhJMlFPQGQgF.jpg,Joss Whedon,Robert Downey Jr.,Chris Evans,Mark Ruffalo,Action,Action,Aventure,Science-Fiction,2015,143.0,7.27,"['Action', 'Aventure', 'Science-Fiction']"
Harry Potter et le Prince de sang-mêlé,"Voldemort a renforcé son emprise sur le monde des sorciers aussi bien que sur celui des Moldus, et Poudlard n’est plus un endroit sûr. Harry est d’ailleurs persuadé que le danger rôde à l’intérieur même de l’école mais Dumbledore est plus soucieux de le préparer pour la bataille finale qu’il sent approcher à grands pas. Ensemble, ils tentent de trouver le talon d’Achille de Voldemort et, à cette fin, Dumbledore fait appel au Professeur Horace Slughorn, qui détient des informations cruciales.",/A4WWOzWUASfUeESXxduQxVmoD7t.jpg,David Yates,Daniel Radcliffe,Emma Watson,Rupert Grint,Aventure,Aventure,Fantastique,Aucun genre,2009,153.0,7.7,"['Aventure', 'Fantastique', 'Aucun genre']"
Batman v Superman : L'Aube de la Justice,"Craignant que Superman n’abuse de sa toute‐puissance, le Chevalier noir décide de l’affronter : le monde a‐t‐il davantage besoin d’un super‐héros aux pouvoirs sans limite ou d’un justicier à la force redoutable mais d’origine humaine ? Pendant ce temps‐là, une terrible menace se profile à l’horizon…",/krEWtXK2K7dg5RyMlx9f5WnI1xd.jpg,Zack Snyder,Ben Affleck,Henry Cavill,Amy Adams,Action,Action,Aventure,Fantastique,2016,153.0,5.993,"['Action', 'Aventure', 'Fantastique']"
